iso;country_name;model
pse;Palestinian Territory, Occupied;MEA
pyf;French Polynesia;PAS
qat;Qatar;MEA
reu;Reunion;AFR
rou;Romania;EEU
rus;Russian Federation;FSU
rwa;Rwanda;AFR
sau;Saudi Arabia;MEA
scg;Serbia and Montenegro;EEU
sdn;Sudan;MEA
sen;Senegal;AFR
sgp;Singapore;PAS
shn;Saint Helena;AFR
sjm;Svalbard and Jan Mayen Islands;WEU
slb;Solomon Islands;PAS
sle;Sierra Leone;AFR
slv;El Salvador;LAM
smr;San Marino;WEU
som;Somalia;AFR
spm;Saint Pierre and Miquelon;NAM
srb;Serbia;EEU
stp;Sao Tome and Principe;AFR
sur;Suriname;LAM
svk;Slovakia;EEU
svn;Slovenia;EEU
swe;Sweden;WEU
swz;Swaziland;AFR
syc;Seychelles;AFR
syr;Syrian Arab Republic;MEA
tca;Turks and Caicos;LAM
tcd;Chad;AFR
tgo;Togo;AFR
tha;Thailand;PAS
tjk;Tajikistan;FSU
tkl;Tokelau;PAS
tkm;Turkmenistan;FSU
tls;Timor Leste;PAS
ton;Tonga;PAS
tto;Trinidad and Tobago;LAM
tun;Tunisia;MEA
tur;Turkey;WEU
tuv;Tuvalu;PAS
twn;Taiwan;PAS
tza;Tanzania, United Republic of;AFR
uga;Uganda;AFR
ukr;Ukraine;FSU
ury;Uruguay;LAM
usa;United States of America;NAM
uzb;Uzbekistan;FSU
vat;Vatican;WEU
vct;Saint Vincent and the Grenadines;LAM
ven;Venezuela;LAM
vgb;Virgin Islands, British;LAM
vir;Virgin Islands, U.S.;NAM
vnm;Viet Nam;CPA
vut;Vanuatu;PAS
wlf;Wallis and Futuna;PAS
wsm;Samoa;PAS
yem;Yemen;MEA
yug;Yugoslavia, Federal Republic of;EEU
zaf;South Africa;AFR
zmb;Zambia;AFR
zwe;Zimbabwe;AFR
ssd;South Sudan;MEA
